Viral coefficient,Cycle time,Retention rate,Resurrection rate,New,Active,Lost
0.7160600518979343,12.014996405148638,0.15,0.006265607730633391,11,628.0,901.0
0.7184760477161304,11.9800089646147,0.15,0.006284233089779543,11,635.0,905.0
0.7209119900405152,11.945196024668421,0.15,0.006302765554559411,11,642.0,909.0
0.7233679445017217,11.910556714984487,0.15,0.006321205588285576,11,649.0,913.0
0.7258439755292729,11.876090169578353,0.15,0.006339553651959847,11,656.0,917.0
0.7283401463299366,11.841795526784587,0.15,0.006357810204284766,11,663.0,921.0
0.7308565188660363,11.807671929235337,0.15,0.006375975701675097,11,671.0,924.0
0.7333931538337222,11.773718523838884,0.15,0.006394050598269217,11,679.0,927.0
0.7359501106412055,11.739934461758324,0.15,0.0064120353459404845,11,687.0,930.0
0.7385274473869623,11.706318898390347,0.15,0.006429930394308526,11,695.0,933.0
0.7411252208379064,11.672870993344116,0.15,0.006447736190750486,11,703.0,936.0
0.7437434864075401,11.639589910420266,0.15,0.0064654531804121985,11,711.0,939.0
0.7463822981340819,11.606474817589989,0.15,0.0064830818062193325,11,719.0,942.0
0.7490417086585799,11.573524886974237,0.15,0.006500622508888446,11,727.0,945.0
0.7517217692030117,11.540739294823034,0.15,0.006518075726938025,11,735.0,948.0
0.754422529548375,11.508117221494864,0.15,0.006535441896699426,11,743.0,951.0
0.757144038012775,11.475657851436196,0.15,0.0065527214523277985,11,751.0,954.0
0.7598863414295116,11.443360373161088,0.15,0.006569914825812933,11,759.0,957.0
0.7626494851251701,11.4112239792309,0.15,0.006587022446990063,11,767.0,960.0
0.7654335128977201,11.379247866234113,0.15,0.006604044743550609,11,775.0,963.0
0.7682384669946283,11.347431234766233,0.15,0.00662098214105287,11,783.0,966.0
0.7710643880909873,11.315773289409819,0.15,0.006637835062932668,11,791.0,969.0
0.7739113152676654,11.284273238714585,0.15,0.006654603930513924,11,799.0,972.0
0.7767792859894839,11.252930295177626,0.15,0.006671289163019204,11,807.0,975.0
0.7796683360834229,11.22174367522372,0.15,0.00668789117758019,11,815.0,978.0
